QUERY;Página
Não;https://santander.com.br/cc-unique-black
Sim;https://santander.com.br/atendimento-para-voce/telefones-santander
Não;https://santander.com.br/cc-aa-gold
Não;https://santander.com.br/gestao-de-risco-financeiro/termo-de-moedas
Não;https://santander.com.br/gestao-de-risco-financeiro/opcoes
Não;https://santander.com.br/investimentos-e-previdencia/informacoes-de-investimentos/documentos-legais
Não;https://santander.com.br/gestao-de-risco-financeiro/swaps
Não;https://santander.com.br/conta-corrente-pessoa-fisica/informacoes/sistema-de-informacao
Não;https://santander.com.br/conta-corrente-pessoa-fisica/informacoes/cadastro-positivo
Não;https://www.santander.com.br/conta-corrente-pessoa-fisica
Não;https://santander.com.br/inves-tabelas-rent-fundos
Não;https://santander.com.br/seguros/para-emprestimo/seguro-limite-da-conta-protegido
Não;https://santander.com.br/seguros/para-emprestimo/seguro-parcelamento-cartoes
Não;https://santander.com.br/seguros/para-emprestimo/seguro-consorcio-protecao-premiada
Não;https://santander.com.br/atendimento-para-voce/validacao-holerite-forcas-armadas
Não;https://santander.com.br/atendimento-para-voce/simuladores/simulador-credito-pessoal-com-imovel-como-garantia
Não;https://santander.com.br/atendimento-para-voce/boletos/boleto-santander-financiamentos
Não;https://santander.com.br/atendimento-para-voce/simuladores/simulador-credito-imobiliario
Não;https://santander.com.br/atendimento-para-voce/simuladores/simulador-previdencia
Não;https://santander.com.br/cartoes-santander/solucoes-de-pagamento/crediario
Não;https://santander.com.br/atendimento-para-voce/acesso-nao-correntista
Não;https://santander.com.br/seguro-empresarial/seguro-patrimonial
Não;https://santander.com.br/atendimento-para-voce/boletos
Não;https://santander.com.br/analise-economica/apresentacao-semanal
Não;https://santander.com.br/atendimento-para-voce/internet-banking
Não;https://santander.com.br/analise-economica/latam-cee-fixed-income-economics-daily
Não;https://santander.com.br/cartoes-santander/santander-pass
Não;https://santander.com.br/seguro-empresarial/para-funcionario/seguro-protecao-vida-em-grupo
Não;https://santander.com.br/conversa-credito-planos-pessoais-taxas
Não;https://santander.com.br/conversa-credito-planos-folego
Não;https://santander.com.br/conversa-credito-planos-pessoais-restituicao
Não;https://santander.com.br/conversa-credito-planos-pessoais-dinheiro
Não;https://santander.com.br/atendimento-para-voce/fale-com-o-santander
Não;https://santander.com.br/atendimento-para-voce/banco-24-horas-e-caixas-eletronicos
Não;https://santander.com.br/atendimento-para-voce/atendimento-private
Não;https://santander.com.br/comercio-exterior-e-cambio/exportacao/adiantamento-sobre-cambiais-e-contratos
Não;https://santander.com.br/atendimento-para-voce/telefones-santander/ouvidoria
Não;https://santander.com.br/seguro-empresarial/para-funcionario/seguro-vida-empresa
Não;https://santander.com.br/seguro-empresarial/seguro-vida-socio
Não;https://santander.com.br/comercio-exterior-e-cambio/exportacao/compra-de-recebiveis-de-exportacao
Não;https://santander.com.br/analise-economica
Não;https://santander.com.br/institucional-santander/seguranca/sobre-o-uso-de-cookies
Não;https://santander.com.br/investimentos-e-previdencia/informacoes-de-investimentos/ofertas-de-fundos-especial
Não;https://santander.com.br/analise-economica/economic-research-our-team
Não;https://santander.com.br/institucional-santander/trabalhe-conosco
Não;https://santander.com.br/institucional-santander/seguranca/denuncias-e-fraudes
Não;https://santander.com.br/institucional-santander/trabalhe-conosco/programa-de-mobilidade
Não;https://santander.com.br/santander-corporate
Não;https://santander.com.br/institucional-santander/trabalhe-conosco/estagiario
Não;https://santander.com.br/institucional-santander/welcome-to-brazil
Não;https://santander.com.br/conversa-seguros-proteger-familia-preocupacao-pouco
Não;https://santander.com.br/conversa-seguros-proteger-familia-preocupacao-especial
Não;https://santander.com.br/creditos-e-financiamentos-para-empresas/gestao-de-caixa/santander-master
Não;https://santander.com.br/conversa-seguros-proteger-familia-preocupacao-altos
Não;https://santander.com.br/conversa-seguros-proteger-imovel-vantagens-casa
Não;https://santander.com.br/conversa-seguros-proteger-cartao
Não;https://santander.com.br/creditos-e-financiamentos-para-empresas/gestao-de-caixa/conta-garantida
Não;https://santander.com.br/creditos-e-financiamentos-para-empresas/expansao-de-negocios/leasing
Não;https://santander.com.br/creditos-e-financiamentos-para-empresas/expansao-de-negocios/cdc
Não;https://santander.com.br/atendimento-empresas/modelos-de-atendimento/negocios-direct
Não;https://santander.com.br/atendimento-empresas/santander-digital/supercash
Sim;https://santander.com.br/atendimento-empresas/modelos-de-atendimento/agencias-empresas
Não;https://santander.com.br/atendimento-empresas/santander-digital/internet-banking-empresarial
Não;https://santander.com.br/atendimento-empresas/modelos-de-atendimento/agencias-especializadas-negocios-empresas
Não;https://santander.com.br/atendimento-empresas/modelos-de-atendimento/nucleos-atendimento-empresas
Não;https://santander.com.br/atendimento-empresas/santander-digital/id-santander
Não;https://santander.com.br/atendimento-empresas/santander-digital/aplicativo-empresas
Não;https://santander.com.br/atendimento-empresas
Não;https://santander.com.br/creditos-e-financiamentos-para-empresas/financiamento-de-capital/capital-de-giro-bonificado
Não;https://santander.com.br/creditos-e-financiamentos-para-empresas/expansao-de-negocios/cdc-i
Não;https://santander.com.br/creditos-e-financiamentos-para-empresas/financiamento-de-capital/capital-de-giro-eletronico
Não;https://santander.com.br/creditos-e-financiamentos-para-empresas/solucoes-para-fornecedores-e-clientes/vendor
Não;https://santander.com.br/creditos-e-financiamentos-para-empresas/expansao-de-negocios/bndes-giro
Não;https://santander.com.br/creditos-e-financiamentos-para-empresas/financiamento-de-capital/capital-de-giro-franquias
Não;https://santander.com.br/creditos-e-financiamentos-para-empresas/solucoes-para-fornecedores-e-clientes/compror
Não;https://santander.com.br/boleto-reneg
Não;https://santander.com.br/creditos-e-financiamentos-para-empresas/financiamento-de-capital/capital-de-giro-recompensa
Não;https://santander.com.br/atendimento-para-voce/correspondentes
Não;https://santander.com.br/creditos-e-financiamentos-para-empresas/expansao-de-negocios/finame
Não;https://santander.com.br/atendimento-para-voce
Não;https://santander.com.br/comercio-exterior-e-cambio/servicos-internacionais/siscomex
Não;https://santander.com.br/servicos-financeiros/solucoes-de-recebimento/recolhimento-de-valores
Não;https://santander.com.br/creditos-e-financiamentos-para-empresas/expansao-de-negocios/bndes-automatico
Não;https://santander.com.br/creditos-e-financiamentos-para-empresas/expansao-de-negocios/cartao-bndes
Não;https://santander.com.br/global-corporate-banking
Não;https://santander.com.br/atendimento-para-voce/espacos-select
Não;https://santander.com.br/cambio
Não;https://santander.com.br/creditos-e-financiamentos/para-voce
Não;https://santander.com.br/creditos-e-financiamentos
Não;https://santander.com.br/gestao-de-risco-financeiro
Não;https://santander.com.br/creditos-e-financiamentos-para-empresas/solucoes-para-fornecedores-e-clientes
Não;https://santander.com.br/investimentos-e-previdencia/cdb-pre
Não;https://santander.com.br/investimentos-e-previdencia/cdb-progressivo
Não;https://santander.com.br/layout-de-arquivos
Não;https://santander.com.br/creditos-e-financiamentos-para-empresas/expansao-de-negocios
Não;https://santander.com.br/investimentos-e-previdencia/renda-fixa-lci
Não;https://santander.com.br/investimentos-e-previdencia/cdb-di
Não;https://santander.com.br/investimentos-e-previdencia/certificado-de-operacoes-estruturadas
Não;https://santander.com.br/creditos-e-financiamentos-para-empresas/financiamento-de-capital
Não;https://santander.com.br/investimentos-e-previdencia/poupanca
Não;https://santander.com.br/creditos-e-financiamentos-para-empresas/antecipacao-de-recebiveis
Não;https://santander.com.br/creditos-e-financiamentos-para-empresas/gestao-de-caixa
Não;https://santander.com.br/creditos-e-financiamentos-para-empresas
Não;https://santander.com.br/conta-corrente-pessoa-fisica/santander-select
Não;https://santander.com.br/investimentos-e-previdencia/reserva-de-emergencia
Não;https://santander.com.br/investimentos-e-previdencia/futuro-protegido
Não;https://santander.com.br/investimentos-e-previdencia/diversificacao-de-investimentos
Não;https://santander.com.br/investimentos-e-previdencia/investimentos-private-banking
Não;https://santander.com.br/investimentos-e-previdencia/prev-primeiros-passos
Sim;https://santander.com.br/conta-corrente-pessoa-fisica/santander-van-gogh
Não;https://santander.com.br/conta-corrente-pessoa-fisica/santander-especial
Não;https://santander.com.br/investimentos-e-previdencia
Não;https://santander.com.br/investimentos-e-previdencia/fundos-de-investimento
Não;https://santander.com.br/investimentos-e-previdencia/aposentadoria/pgbl-e-vgbl
Não;https://santander.com.br/conversa-investimentos-2-1
Não;https://santander.com.br/conversa-investimentos-3-1
Não;https://santander.com.br/conta-corrente-pessoa-fisica/servicos/contamax-pf
Não;https://santander.com.br/conversa-investimentos-7-1
Não;https://santander.com.br/conversa-investimentos-7-2
